framework,run,rps,iterations,p50_ms,p95_ms,p99_ms,err_pct,achieved_rps,srv_p50_ms,srv_p95_ms,cpu_avg_cores,cpu_max_cores,mem_avg_mib,mem_max_mib,pod,k6_exit
spring,1,500,60000,0.71,0.92,0.96,0.00,500.0,1.00,1.00,0.3226,0.4029,207.5404,208.6641,spring-perf-6957cd5b4d-ccxkb,0
spring,2,500,60000,0.71,0.92,0.96,0.00,500.0,1.00,1.00,0.3213,0.3860,205.5713,206.6562,spring-perf-6957cd5b4d-fjfzj,0
spring,3,500,60000,0.71,0.91,0.96,0.00,500.0,1.00,1.00,0.3169,0.3749,205.9574,206.6211,spring-perf-6957cd5b4d-vtjhw,0
spring-reactor,1,500,60000,0.70,0.86,0.93,0.00,500.0,1.00,1.00,0.3059,0.3330,198.1616,198.5547,spring-reactor-perf-7697f96cbc-wjbj2,0
spring-reactor,2,500,60000,0.71,0.87,0.94,0.00,500.0,1.00,1.00,0.3053,0.3274,199.2461,200.0625,spring-reactor-perf-7697f96cbc-p7564,0
spring-reactor,3,500,60000,0.70,0.88,0.94,0.00,500.0,1.00,1.00,0.3084,0.3825,196.9925,197.6758,spring-reactor-perf-7697f96cbc-4znlc,0
actix,1,1000,30000,0.32,0.53,0.69,0.00,1000.0,0.00,0.00,0.2375,0.2417,10.1553,10.7383,actix-perf-798cc85858-9vz8f,0
actix,2,1000,30000,0.32,0.54,0.72,5.76,1000.0,0.00,0.00,0.2197,0.2405,10.0855,10.5820,actix-perf-798cc85858-w9bct,99
actix,3,1000,30000,0.32,0.52,0.67,0.00,1000.0,0.00,0.00,0.2345,0.2411,9.7581,10.6055,actix-perf-798cc85858-z85v2,0
ktor,1,1000,30000,0.31,0.51,0.59,0.00,1000.0,0.00,1.00,0.2284,0.2815,173.4609,177.4688,ktor-perf-799b7767dd-hvpjw,0
ktor,2,1000,30000,0.31,0.51,0.60,0.00,1000.0,0.00,1.00,0.2248,0.2849,174.9154,179.2461,ktor-perf-799b7767dd-2lqjt,0
ktor,3,1000,30000,0.31,0.51,0.63,0.00,1000.0,0.00,1.00,0.2310,0.2893,171.9922,175.7383,ktor-perf-799b7767dd-zlh6z,0
quarkus-jvm,1,1000,30000,0.30,0.38,0.46,0.00,1000.0,0.00,1.00,0.2154,0.2708,130.0039,130.7070,quarkus-perf-jvm-84dbb885f-pks2d,0
quarkus-jvm,2,1000,30000,0.31,0.39,0.46,0.00,1000.0,0.00,1.00,0.2162,0.2418,129.1911,130.3164,quarkus-perf-jvm-84dbb885f-wmbtm,0
quarkus-jvm,3,1000,30000,0.31,0.39,0.47,0.00,1000.0,0.00,1.00,0.2177,0.2271,133.7987,134.4883,quarkus-perf-jvm-84dbb885f-mv4sj,0
quarkus-native,1,1000,30000,0.35,0.44,0.51,0.00,1000.0,0.00,1.00,0.2616,0.2683,41.8167,63.0625,quarkus-perf-native-7d7d4b66c9-6k5bt,0
quarkus-native,2,1000,30000,0.35,0.45,0.53,0.00,1000.0,0.00,1.00,0.2626,0.2698,39.5437,60.1680,quarkus-perf-native-7d7d4b66c9-j6vqd,0
quarkus-native,3,1000,30000,0.35,0.45,0.53,0.00,1000.0,0.00,1.00,0.2682,0.2706,41.2497,65.5195,quarkus-perf-native-7d7d4b66c9-ks27x,0
quarkus-reactive-jvm,1,1000,30000,0.31,0.38,0.46,0.00,1000.0,0.00,1.00,0.2203,0.2304,130.3098,131.1406,quarkus-reactive-perf-jvm-6d798f48b7-d49fj,0
quarkus-reactive-jvm,2,1000,30000,0.31,0.38,0.44,0.00,1000.0,0.00,1.00,0.2171,0.2268,148.5407,152.8281,quarkus-reactive-perf-jvm-6d798f48b7-l9vft,0
quarkus-reactive-jvm,3,1000,30000,0.31,0.39,0.47,0.00,1000.0,0.00,1.00,0.2176,0.2296,127.8952,129.2266,quarkus-reactive-perf-jvm-6d798f48b7-p84jp,0
quarkus-reactive-native,1,1000,30000,0.35,0.44,0.53,0.00,1000.0,0.00,1.00,0.2670,0.2720,30.3818,52.5742,quarkus-reactive-perf-native-856b76f5d7-6kn74,0
quarkus-reactive-native,2,1000,30000,0.36,0.45,0.53,0.00,1000.0,0.00,1.00,0.2655,0.2741,31.0246,53.1562,quarkus-reactive-perf-native-856b76f5d7-jgqlg,0
quarkus-reactive-native,3,1000,30000,0.36,0.45,0.52,0.00,1000.0,0.00,1.00,0.2658,0.2727,32.8210,54.3555,quarkus-reactive-perf-native-856b76f5d7-j6gd4,0
spring,1,1000,30000,0.37,0.48,0.53,0.00,1000.0,0.00,1.00,0.2900,0.3249,264.1893,264.8711,spring-perf-6957cd5b4d-zvt2f,0
spring,2,1000,30000,0.37,0.48,0.54,0.00,1000.0,0.00,1.00,0.2977,0.4143,258.1602,259.0703,spring-perf-6957cd5b4d-rb5zm,0
spring,3,1000,30000,0.38,0.49,0.56,0.00,1000.0,0.00,1.00,0.3060,0.5828,261.3540,262.4141,spring-perf-6957cd5b4d-vjknr,0
spring-reactor,1,1000,30000,0.33,0.43,0.51,0.00,1000.0,0.00,1.00,0.2516,0.3407,205.4104,206.6172,spring-reactor-perf-7697f96cbc-6c6lh,0
spring-reactor,2,1000,30000,0.34,0.43,0.49,0.00,1000.0,0.00,1.00,0.2478,0.2687,206.0536,208.2812,spring-reactor-perf-7697f96cbc-5mjzp,0
spring-reactor,3,1000,30000,0.33,0.43,0.50,0.00,1000.0,0.00,1.00,0.2537,0.2871,218.6338,221.4141,spring-reactor-perf-7697f96cbc-57s4q,0
actix,1,2000,15000,0.19,0.31,0.38,0.00,2000.0,0.00,0.00,0.1828,0.1864,10.4271,11.2383,actix-perf-798cc85858-gl686,0
actix,2,2000,15000,0.19,0.31,0.38,0.00,2000.0,0.00,0.00,0.1808,0.1857,10.3855,10.9805,actix-perf-798cc85858-fzgrp,0
actix,3,2000,15000,0.19,0.31,0.38,0.00,2000.0,0.00,0.00,0.1810,0.1853,10.3493,11.1602,actix-perf-798cc85858-2dg8b,0
ktor,1,2000,15000,0.21,2067.83,3642.75,0.00,1978.1,0.00,1.00,0.1951,0.2112,302.5024,328.6445,ktor-perf-799b7767dd-7rnsh,0
ktor,2,2000,15000,0.19,397.15,1686.32,0.00,1991.0,0.00,0.00,0.1908,0.2002,237.5713,270.6719,ktor-perf-799b7767dd-z6l48,0
ktor,3,2000,15000,0.19,1068.86,2139.62,5.70,1975.7,0.00,1.00,0.1864,0.2048,262.6725,284.2227,ktor-perf-799b7767dd-b2cvq,99
quarkus-jvm,1,2000,15000,0.17,0.22,0.26,0.00,2000.0,0.00,1.00,0.1777,0.1825,145.7138,147.0430,quarkus-perf-jvm-84dbb885f-x5bcb,0
quarkus-jvm,2,2000,15000,0.17,0.22,0.26,0.00,2000.0,0.00,0.00,0.1759,0.1851,135.8024,137.7695,quarkus-perf-jvm-84dbb885f-zjn99,0
quarkus-jvm,3,2000,15000,0.17,0.23,0.26,0.00,2000.1,0.00,0.00,0.1767,0.1854,146.4235,148.4180,quarkus-perf-jvm-84dbb885f-lcbgl,0
quarkus-native,1,2000,15000,0.19,0.26,0.35,0.00,2000.0,0.00,1.00,0.2318,0.2392,29.4391,46.6875,quarkus-perf-native-7d7d4b66c9-ltj7n,0
quarkus-native,2,2000,15000,0.19,0.26,0.39,0.00,2000.1,0.00,1.00,0.2334,0.2380,27.6608,41.0391,quarkus-perf-native-7d7d4b66c9-lqrt9,0
quarkus-native,3,2000,15000,0.19,0.26,0.39,0.00,2000.0,0.00,1.00,0.2335,0.2396,28.6442,47.6328,quarkus-perf-native-7d7d4b66c9-rclv8,0
quarkus-reactive-jvm,1,2000,15000,0.17,0.22,0.26,0.00,2000.0,0.00,0.00,0.1799,0.1896,143.8661,151.8984,quarkus-reactive-perf-jvm-6d798f48b7-qqcwn,0
quarkus-reactive-jvm,2,2000,15000,0.17,0.22,0.27,0.00,2000.0,0.00,0.00,0.1799,0.1887,133.6966,134.5039,quarkus-reactive-perf-jvm-6d798f48b7-xq9r9,0
quarkus-reactive-jvm,3,2000,15000,0.17,0.22,0.26,0.00,2000.0,0.00,0.00,0.1758,0.1870,148.9668,149.8242,quarkus-reactive-perf-jvm-6d798f48b7-dg276,0
quarkus-reactive-native,1,2000,15000,0.20,0.27,0.51,0.00,2000.0,0.00,1.00,0.2414,0.2500,24.2594,37.9961,quarkus-reactive-perf-native-856b76f5d7-95xqs,0
quarkus-reactive-native,2,2000,15000,0.20,0.27,0.51,0.00,2000.0,0.00,0.00,0.2413,0.2490,24.8229,36.3906,quarkus-reactive-perf-native-856b76f5d7-7lhrs,0
quarkus-reactive-native,3,2000,15000,0.20,0.27,0.53,0.00,2000.0,0.00,1.00,0.2414,0.2478,23.8971,36.1289,quarkus-reactive-perf-native-856b76f5d7-qjsb6,0
spring,1,2000,15000,0.22,0.29,0.35,0.00,2000.0,0.00,0.00,0.3194,0.5851,363.5996,364.3281,spring-perf-6957cd5b4d-sdk8z,0
spring,2,2000,15000,0.23,70.08,110.86,0.00,2000.0,0.00,1.00,0.3079,0.3079,397.1442,417.8320,spring-perf-6957cd5b4d-79m9t,0
spring,3,2000,15000,0.22,0.29,0.35,0.00,2000.0,0.00,0.00,0.3226,0.7307,376.5264,386.3906,spring-perf-6957cd5b4d-8snxf,0
spring-reactor,1,2000,15000,0.20,0.27,0.32,0.00,2000.1,0.00,0.00,0.2437,0.3693,231.7738,239.3789,spring-reactor-perf-7697f96cbc-52ljh,0
spring-reactor,2,2000,15000,0.20,0.27,0.32,0.00,2000.0,0.00,1.00,0.2375,0.2912,231.6654,236.6328,spring-reactor-perf-7697f96cbc-m4vxb,0
spring-reactor,3,2000,15000,0.20,0.27,0.32,0.00,2000.0,0.00,1.00,0.2415,0.3919,232.5225,250.5664,spring-reactor-perf-7697f96cbc-qxqpb,0
