framework,conns,run,p50_ms,p95_ms,p99_ms,err_pct,mean_conn_ms,max_conn_ms,measured_reqs,achieved_rps,max_vus,est_conns_host,cpu_avg_cores,cpu_max_cores,mem_avg_mib,mem_max_mib,pod,k6_exit
quarkus-native,100,2,0.126,0.274,0.338,0,0,0,8995,49.97,100,101,0.0032,0.0033,59.1212,65.4122,quarkus-perf-native-7d7d4b66c9-nslfj,0
quarkus-native,100,3,0.13,0.317,0.382,0,0,0,8996,49.98,100,101,0.0028,0.003,57.5671,59.1562,quarkus-perf-native-7d7d4b66c9-qg6kf,0
quarkus-reactive-jvm,100,1,0.079,0.206,0.262,0,0,0,9000,50,100,101,0.006,0.0165,115.9176,118.3555,quarkus-reactive-perf-jvm-6d798f48b7-j4wlz,0
quarkus-reactive-jvm,100,2,0.078,0.207,0.277,0,0,0,8996,49.98,100,101,0.0065,0.0187,116.7161,117.1187,quarkus-reactive-perf-jvm-6d798f48b7-h4rgg,0
quarkus-reactive-jvm,100,3,0.077,0.194,0.243,0,0,0,9000,50,100,101,0.0063,0.0156,117.9176,118.9087,quarkus-reactive-perf-jvm-6d798f48b7-m5rx6,0
quarkus-reactive-native,100,1,0.11,0.275,0.329,0,0,0,9000,50,100,101,0.0021,0.0027,59.0568,61.6406,quarkus-reactive-perf-native-856b76f5d7-849nl,0
quarkus-reactive-native,100,2,0.116,0.268,0.337,0,0,0,9000,50,100,101,0.0019,0.0026,55.0918,57.7161,quarkus-reactive-perf-native-856b76f5d7-kqpnf,0
quarkus-reactive-native,100,3,0.116,0.262,0.336,0,0,0,9000,50,100,101,0.0019,0.0025,54.8761,57.1761,quarkus-reactive-perf-native-856b76f5d7-htds6,0
spring,100,1,0.139,0.259,0.351,0,0.001,0.186,8995,49.97,100,100,0.018,0.0466,190.7233,194.4805,spring-perf-6957cd5b4d-tzsg6,0
spring,100,2,0.143,0.261,0.358,0,0.001,0.162,8995,49.97,100,100,0.0195,0.0505,190.8498,195.1602,spring-perf-6957cd5b4d-lx4g6,0
spring,100,3,0.142,0.263,0.361,0,0.001,0.128,8997,49.98,100,100,0.0186,0.0465,188.3353,191.1172,spring-perf-6957cd5b4d-9bg6x,0
spring-reactor,100,1,0.129,0.266,0.426,0,0,0,8995,49.97,100,100,0.0172,0.0403,186.0492,187.9297,spring-reactor-perf-7697f96cbc-96rjg,0
spring-reactor,100,2,0.128,0.258,0.42,0,0,0,8995,49.97,100,100,0.0173,0.0441,188.0358,190.125,spring-reactor-perf-7697f96cbc-wj7bs,0
spring-reactor,100,3,0.131,0.254,0.377,0,0,0,8995,49.97,100,100,0.0162,0.0462,189.2418,190.4219,spring-reactor-perf-7697f96cbc-dvjh9,0
actix,500,1,0.048,0.084,0.113,0,0,0,44985,249.92,500,500,0.0122,0.0127,14.7365,15.9258,actix-perf-798cc85858-n84wc,0
actix,500,2,0.049,0.087,0.114,0,0,0,44985,249.92,500,500,0.0124,0.0129,15.2323,16.0273,actix-perf-798cc85858-x6cbn,0
actix,500,3,0.05,0.087,0.114,0,0,0,44985,249.92,500,500,0.0124,0.0128,15.1436,16.2617,actix-perf-798cc85858-kx8rc,0
ktor,500,1,0.074,3.321,1881.692,0,0,0,43887,243.82,500,501,0.0172,0.0291,176.0178,181.668,ktor-perf-799b7767dd-npwxm,0
ktor,500,2,0.7,1617.987,3517.506,0,0,0,42000,233.33,500,501,0.0144,0.0329,173.2998,177.3984,ktor-perf-799b7767dd-crqp4,0
ktor,500,3,0.477,2.545,1065.714,0,0,0,45000,250,500,500,0.0361,0.1062,166.142,174.4492,ktor-perf-799b7767dd-wj8s6,0
quarkus-jvm,500,1,0.061,0.092,0.117,0,0,0,44985,249.92,500,501,0.008,0.0176,126.4943,127.2344,quarkus-perf-jvm-84dbb885f-l6g4s,0
quarkus-jvm,500,2,0.058,0.087,0.107,0,0,0,44984,249.91,500,501,0.0073,0.0176,129.5,137.6797,quarkus-perf-jvm-84dbb885f-mpxvx,0
quarkus-jvm,500,3,0.063,0.094,0.12,0,0,0,44985,249.92,500,501,0.0081,0.0157,127.7184,129.0859,quarkus-perf-jvm-84dbb885f-jswmw,0
quarkus-native,500,1,0.082,0.13,0.167,0,0,0,44985,249.92,500,501,0.0086,0.0095,66.3874,67.8164,quarkus-perf-native-7d7d4b66c9-8nvr5,0
quarkus-native,500,2,0.077,0.119,0.149,0,0,0,44985,249.92,500,501,0.0091,0.0091,65.3681,67.2132,quarkus-perf-native-7d7d4b66c9-8xpnz,0
quarkus-native,500,3,0.077,0.117,0.148,0,0,0,44985,249.92,500,501,0.0088,0.0094,72.3874,74.5414,quarkus-perf-native-7d7d4b66c9-d6dwk,0
quarkus-reactive-jvm,500,1,0.051,0.078,0.101,0,0,0,44983,249.91,500,501,0.0046,0.0062,120.6312,121.9492,quarkus-reactive-perf-jvm-6d798f48b7-tkxgm,0
quarkus-reactive-jvm,500,2,0.05,0.076,0.098,0,0,0,44984,249.91,500,501,0.0041,0.0063,118.6712,119.1561,quarkus-reactive-perf-jvm-6d798f48b7-stvqc,0
quarkus-reactive-jvm,500,3,0.052,0.078,0.102,0,0,0,44985,249.92,500,501,0.0045,0.0059,119.6151,120.1871,quarkus-reactive-perf-jvm-6d798f48b7-swmd7,0
quarkus-reactive-native,500,1,0.069,0.119,0.16,0,0,0,44985,249.92,500,501,0.0066,0.0069,65.3151,70.761,quarkus-reactive-perf-native-856b76f5d7-f45q2,0
quarkus-reactive-native,500,2,0.07,0.126,0.17,0,0,0,44985,249.92,500,501,0.0073,0.0075,68.9817,70.0087,quarkus-reactive-perf-native-856b76f5d7-tdbwk,0
quarkus-reactive-native,500,3,0.069,0.123,0.163,0,0,0,44985,249.92,500,501,0.0078,0.008,71.7161,77.871,quarkus-reactive-perf-native-856b76f5d7-spt6p,0
spring,500,1,0.084,0.119,0.144,0,0.001,0.103,44984,249.91,500,500,0.0189,0.0474,206.332,214.5938,spring-perf-6957cd5b4d-hjqqf,0
spring,500,2,0.083,0.118,0.142,0,0.001,0.104,44984,249.91,500,500,0.0195,0.0485,205.5173,212.7773,spring-perf-6957cd5b4d-6s82r,0
spring,500,3,0.082,0.114,0.138,0,0.001,0.249,44985,249.92,500,500,0.0176,0.0378,203.7485,210.125,spring-perf-6957cd5b4d-j6xqh,0
spring-reactor,500,1,0.081,0.127,0.164,0,0,0,44984,249.91,500,500,0.0164,0.0388,192.9186,194.5156,spring-reactor-perf-7697f96cbc-q7scp,0
spring-reactor,500,2,0.081,0.122,0.158,0,0,0,44984,249.91,500,500,0.0169,0.0367,192.1016,193.6641,spring-reactor-perf-7697f96cbc-49h26,0
spring-reactor,500,3,0.081,0.123,0.158,0,0,0,44985,249.92,500,500,0.0162,0.0272,193.5147,194.8086,spring-reactor-perf-7697f96cbc-5wvw5,0
actix,1000,1,0.042,0.079,0.108,0,0,0,89972,499.84,1000,1000,0.0142,0.015,24.7024,25.8164,actix-perf-798cc85858-p4kjm,0
actix,1000,2,0.04,0.074,0.097,0,0,0,89967,499.82,1000,1000,0.0142,0.0146,24.7168,26.0391,actix-perf-798cc85858-jpxkm,0
actix,1000,3,0.041,0.074,0.098,0,0,0,89967,499.82,1000,1000,0.0142,0.0147,24.6383,25.5391,actix-perf-798cc85858-nkf4x,0
ktor,1000,1,0.071,0.382,0.716,0,0,0,89974,499.86,1000,1001,0.0207,0.0298,179.5075,183.3359,ktor-perf-799b7767dd-vtjkh,0
ktor,1000,2,1.112,1985.651,3474.748,7.596,0.001,3.907,78989,438.83,1000,1001,0.0138,0.0352,184.3794,189.3711,ktor-perf-799b7767dd-xl825,99
ktor,1000,3,0.491,41.503,2001.582,0,0,0,87000,483.33,1000,1001,0.0153,0.0455,182.8137,186.9844,ktor-perf-799b7767dd-q46qk,0
quarkus-jvm,1000,1,0.053,0.084,0.106,0,0,0,89973,499.85,1000,1001,0.0105,0.0127,136.3858,138.125,quarkus-perf-jvm-84dbb885f-tjjkd,0
quarkus-jvm,1000,2,0.054,0.085,0.107,0,0,0,89970,499.83,1000,1001,0.011,0.0124,130.2527,131.2227,quarkus-perf-jvm-84dbb885f-95d5g,0
quarkus-jvm,1000,3,0.054,0.085,0.109,0,0,0,89974,499.86,1000,1001,0.0112,0.0144,131.915,132.9062,quarkus-perf-jvm-84dbb885f-7g9qt,0
quarkus-native,1000,1,0.067,0.104,0.133,0,0,0,89967,499.82,1000,1001,0.0113,0.0118,65.6494,71.4336,quarkus-perf-native-7d7d4b66c9-wnfp9,0
quarkus-native,1000,2,0.065,0.102,0.127,0,0,0,89973,499.85,1000,1001,0.0115,0.012,63.5432,67.1211,quarkus-perf-native-7d7d4b66c9-9m5b8,0
quarkus-native,1000,3,0.068,0.107,0.135,0,0,0,89971,499.84,1000,1001,0.0118,0.0123,67.9181,72.7612,quarkus-perf-native-7d7d4b66c9-zg8h7,0
quarkus-reactive-jvm,1000,1,0.046,0.072,0.093,0,0,0,89971,499.84,1000,1001,0.0073,0.0112,127.314,130.3555,quarkus-reactive-perf-jvm-6d798f48b7-n5nrv,0
quarkus-reactive-jvm,1000,2,0.045,0.07,0.089,0,0,0,89969,499.83,1000,1001,0.0078,0.0118,122.1231,125.8761,quarkus-reactive-perf-jvm-6d798f48b7-hrks4,0
quarkus-reactive-jvm,1000,3,0.045,0.07,0.089,0,0,0,89968,499.82,1000,1001,0.0073,0.011,123.8761,125.0871,quarkus-reactive-perf-jvm-6d798f48b7-fddnz,0
quarkus-reactive-native,1000,1,0.061,0.104,0.138,0,0,0,89970,499.83,1000,1001,0.0148,0.0153,68.1058,72.2969,quarkus-reactive-perf-native-856b76f5d7-f4qtp,0
quarkus-reactive-native,1000,2,0.06,0.098,0.128,0,0,0,89971,499.84,1000,1001,0.011,0.02,62.8711,72.8171,quarkus-reactive-perf-native-856b76f5d7-lmjjn,0
quarkus-reactive-native,1000,3,0.06,0.1,0.133,0,0,0,89970,499.83,1000,1001,0.0156,0.0243,61.9871,75.9817,quarkus-reactive-perf-native-856b76f5d7-frcf6,0
spring,1000,1,0.079,0.12,0.147,0,0.001,0.229,89969,499.83,1000,1000,0.0274,0.0349,220.1316,231.0391,spring-perf-6957cd5b4d-7lhrc,0
spring,1000,2,0.081,0.123,0.149,0,0.001,0.2,89969,499.83,1000,1000,0.0286,0.0358,218.4202,229.1445,spring-perf-6957cd5b4d-mj4p6,0
spring,1000,3,0.08,0.123,0.151,0,0.001,0.202,89968,499.82,1000,1000,0.0283,0.0381,221.0866,231.8945,spring-perf-6957cd5b4d-gw6nc,0
spring-reactor,1000,1,0.076,0.126,0.205,0,0,0,89970,499.83,1000,1000,0.0243,0.0343,202.0727,203.0547,spring-reactor-perf-7697f96cbc-6hdd8,0
spring-reactor,1000,2,0.075,0.121,0.185,0,0,0,89969,499.83,1000,1000,0.0234,0.0261,201.9639,202.875,spring-reactor-perf-7697f96cbc-4z59d,0
spring-reactor,1000,3,0.075,0.124,0.206,0,0,0,89975,499.86,1000,1000,0.0237,0.0367,201.429,202.7383,spring-reactor-perf-7697f96cbc-bjmcq,0
actix,2000,1,0.047,0.101,0.148,0,0,0,179941,999.67,2000,2000,0.0178,0.0185,43.6855,44.7773,actix-perf-798cc85858-gb7dj,0
actix,2000,2,0.047,0.098,0.141,0,0,0,179935,999.64,2000,2000,0.0178,0.0183,44.0179,45.0039,actix-perf-798cc85858-5mtz9,0
actix,2000,3,0.048,0.1,0.143,0,0,0,179934,999.63,2000,2000,0.018,0.0185,43.7946,44.7812,actix-perf-798cc85858-7n2p5,0
ktor,2000,1,0.077,0.199,0.464,0,0,0,179881,999.34,2000,2001,0.033,0.0358,191.8224,198.0195,ktor-perf-799b7767dd-dkvbc,0
ktor,2000,2,0.111,0.657,3.08,0,0,0,179959,999.77,2000,2001,0.0286,0.0308,199.4157,206.3828,ktor-perf-799b7767dd-txgjt,0
ktor,2000,3,0.073,0.163,0.31,0,0,0,179953,999.74,2000,2001,0.0316,0.0345,189.4525,193.3398,ktor-perf-799b7767dd-lm8lx,0
quarkus-jvm,2000,1,0.059,0.097,0.126,0,0,0,179938,999.66,2000,2001,0.0195,0.0237,145.8929,147.1484,quarkus-perf-jvm-84dbb885f-t5gnr,0
quarkus-jvm,2000,2,0.059,0.099,0.136,0,0,0,179957,999.76,2000,2001,0.0188,0.0202,147.2754,147.7148,quarkus-perf-jvm-84dbb885f-vhfvw,0
quarkus-jvm,2000,3,0.059,0.098,0.126,0,0,0,179940,999.67,2000,2001,0.0195,0.0211,142.1012,143.0273,quarkus-perf-jvm-84dbb885f-rcqzw,0
quarkus-native,2000,1,0.07,0.131,0.192,0,0,0,179943,999.68,2000,2001,0.0209,0.0223,64.1986,77.4297,quarkus-perf-native-7d7d4b66c9-knjm5,0
quarkus-native,2000,2,0.07,0.131,0.189,0,0,0,179934,999.63,2000,2001,0.0209,0.0187,64.1986,70.4297,quarkus-perf-native-7d7d4b66c9-ht26w,0
quarkus-native,2000,3,0.072,0.132,0.189,0,0,0,179944,999.69,2000,2001,0.0213,0.0223,64.5431,77.7231,quarkus-perf-native-7d7d4b66c9-cdd7s,0
quarkus-reactive-jvm,2000,1,0.045,0.08,0.107,0,0,0,179939,999.66,2000,2001,0.0126,0.0178,140.095,141,quarkus-reactive-perf-jvm-6d798f48b7-mr82v,0
quarkus-reactive-jvm,2000,2,0.047,0.08,0.104,0,0,0,179954,999.74,2000,2001,0.0111,0.0151,133.6511,135.1106,quarkus-reactive-perf-jvm-6d798f48b7-2lvfv,0
quarkus-reactive-jvm,2000,3,0.047,0.082,0.108,0,0,0,179948,999.71,2000,2001,0.0176,0.0125,131.6751,132.6751,quarkus-reactive-perf-jvm-6d798f48b7-prbfd,0
quarkus-reactive-native,2000,1,0.062,0.124,0.186,0,0,0,179933,999.63,2000,2001,0.0209,0.02871,65.3126,77.4297,quarkus-reactive-perf-native-856b76f5d7-7wml6,0
quarkus-reactive-native,2000,2,0.062,0.123,0.187,0,0,0,179936,999.64,2000,2001,0.0287,0.03,61.0871,73.1231,quarkus-reactive-perf-native-856b76f5d7-vktzr,0
quarkus-reactive-native,2000,3,0.062,0.122,0.181,0,0,0,179933,999.63,2000,2001,0.0154,0.028,69.7651,82.0871,quarkus-reactive-perf-native-856b76f5d7-pgkf5,0
spring,2000,1,0.093,0.134,0.175,0,0.001,2.746,179931,999.62,2000,2000,0.058,0.0657,260.5237,277.3906,spring-perf-6957cd5b4d-lmzlv,0
spring,2000,2,0.092,0.132,0.175,0,0.001,3.955,179931,999.62,2000,2000,0.0574,0.0633,259.9557,278.8281,spring-perf-6957cd5b4d-6k75s,0
spring,2000,3,0.091,0.131,0.161,0,0.001,3.309,179937,999.65,2000,2000,0.0577,0.0643,259.1165,277.8398,spring-perf-6957cd5b4d-drtr5,0
spring-reactor,2000,1,0.076,0.135,0.213,0,0,0,179933,999.63,2000,2000,0.0406,0.0423,207.5412,208.4453,spring-reactor-perf-7697f96cbc-zr28f,0
spring-reactor,2000,2,0.078,0.142,0.225,0,0,0,179939,999.66,2000,2000,0.0413,0.0445,208.0212,208.4844,spring-reactor-perf-7697f96cbc-phpdq,0
spring-reactor,2000,3,0.077,0.14,0.216,0,0,0,179945,999.69,2000,2000,0.0422,0.0453,211.2494,212.6523,spring-reactor-perf-7697f96cbc-64w2w,0
